SaleID,Date,CustomerID,ProductID,StoreID,Quantity,UnitPrice,TotalSales
1,2024-04-12,7,2,4,1,600,600
2,2024-12-14,2,5,3,2,150,300
3,2024-09-27,1,8,5,3,500,1500
4,2024-04-16,4,8,2,2,500,1000
5,2024-03-12,8,3,2,2,300,600
6,2024-07-07,2,7,5,1,400,400
7,2024-01-21,3,3,4,4,300,1200
8,2024-04-12,1,6,5,4,1200,4800
9,2024-05-01,1,6,4,1,1200,1200
10,2024-08-02,3,3,5,4,300,1200
11,2024-11-26,5,7,5,2,400,800
12,2024-03-28,3,3,1,3,300,900
13,2024-04-09,1,8,2,1,500,500
14,2024-12-25,1,10,5,3,100,300
15,2024-05-31,8,4,5,4,50,200
16,2024-05-10,10,1,3,3,900,2700
17,2024-05-29,2,4,2,4,50,200
18,2024-11-04,3,7,3,4,400,1600
19,2024-09-14,2,4,2,2,50,100
20,2024-12-09,3,6,3,4,1200,4800
21,2024-10-20,7,9,5,2,200,400
22,2024-07-10,1,1,5,2,900,1800
23,2024-10-03,10,5,1,2,150,300
24,2024-06-09,8,7,3,1,400,400
25,2024-11-09,10,1,4,1,900,900
26,2024-01-22,10,4,1,4,50,200
27,2024-09-09,10,6,3,2,1200,2400
28,2024-08-23,2,2,3,1,600,600
29,2024-12-10,3,10,1,2,100,200
30,2024-02-18,9,5,5,3,150,450
31,2024-02-28,7,10,3,3,100,300
32,2024-06-18,4,1,5,3,900,2700
33,2024-07-06,10,6,1,4,1200,4800
34,2024-09-27,5,6,5,2,1200,2400
35,2024-07-08,2,4,2,3,50,150
36,2024-06-23,8,8,4,1,500,500
37,2024-02-20,4,4,3,3,50,150
38,2024-12-29,9,8,4,3,500,1500
39,2024-02-24,5,8,5,3,500,1500
40,2024-08-31,9,5,3,4,150,600
41,2024-11-15,4,4,5,1,50,50
42,2024-05-10,10,2,2,2,600,1200
43,2024-11-02,5,3,1,1,300,300
44,2024-05-14,9,3,3,2,300,600
45,2024-01-21,8,4,2,4,50,200
46,2024-11-24,3,4,2,4,50,200
47,2024-06-15,1,10,3,4,100,400
48,2024-09-30,3,5,5,4,150,600
49,2024-03-29,4,4,2,2,50,100
50,2024-11-11,2,10,4,3,100,300
51,2024-01-14,1,8,2,2,500,1000
52,2024-08-29,7,6,5,1,1200,1200
53,2024-09-21,8,6,5,4,1200,4800
54,2024-12-11,7,8,4,4,500,2000
55,2024-02-22,5,7,2,1,400,400
56,2024-12-05,1,10,5,2,100,200
57,2024-04-01,7,10,3,3,100,300
58,2024-09-20,7,8,1,3,500,1500
59,2024-02-04,9,2,1,1,600,600
60,2024-07-24,3,9,1,3,200,600
61,2024-03-21,9,1,2,2,900,1800
62,2024-02-19,1,8,4,2,500,1000
